"Ecocrop_code","Authority","Family","Synonyms","Common_names","Editor","Notes","Sources"
"1983","(L.) Pers.","Liliopsida:Commelinidae:Cyperales:Gramineae","Sorghum almum Parodi","Johnson grass, Aleppo grass, means-grass, racehorse grass, false Guinea grass, Morocco millet, Egyptian millet, Arabian millet, Cuba grass, evergreen millet, milho zaburro, capim do Alepo, capim de Cuba, capim macambara', peripomonga","","BRIEF DESCRIPTION  An erect grass, with culms from 60-290 cm in height. It forms extensive underground root systems. USES  Used for fodder. KILLING T  It is susceptible to frosts but the rhizomes usually survive. GROWING PERIOD  Perennial grass growing from spring to autumn. COMMON NAMES  Johnson grass, Grama China, Maicillo, Sorguillo, Sorgo de Alepo, Aleppo grass, Don Carlos. FURTHER INF  Johnson grass is believed to be of Mediterranean and western Asian origin. It is common in moist areas on river banks, in clay soils and wet sandy soils. Best known as one of the 10 most noxious weeds in the world. It is a serious weed problem in cotton, corn, soybeans, sugarcane, fruit and nut orchards, and vegetables, and mentioned as a problem in 53 countries. In Texas it can yield 17-18 t/ha of hay under irrigation. Rhizomes production may be 10-50 t/ha. Seed yields of 0.3 t/ha are considered good. At day-length of 12 hours is thought to be the optimum for flowering, with above 14 hours of light the grass fail to flower, and above 16 hours all growth processes are inhibited.","Grassland Index- In Ecocrop as synonym Sorghum halepense Grassland Index- In Ecocrop as synonym of Sorghum almum
Skerman P 1990 pp 686-689 [TEMP, PHO, KTMP, RAIN, DRA, FER]
Rehms S 1991 pp 415 [USE, LIMIT]
Duke J 1975 pp 27 [PH, RAIN, TEMP]
Duke J 1979 pp 96 [PH, RAIN, TEMP]
Heath M 1985 pp 266
Kernick M 1961 pp 38
Purseglove J 1972 pp 261 [USE]
Mitidieri A 1986 pp 1-35 [LIMITS, TEXT, TEMP, DEP, KTMP, PHO]
Ahlgreen G 1956 pp 262-267 [DRA, FER, LIMIT, USE, TEXT, LIG, TEMP]
Roecklein J 1987 pp 163 [USE, LIMIT, FER, TEXT]"
"1988","(Piper) Stapf.","Gramineae","","Sudan grass","","","Grassland Index"
"1990","Parodi","Liliopsida:Commelinidae:Cyperales:Gramineae","","Columbus grass, almum sorghum","","BRIEF DESCRIPTION  A robust grass reaching up to 4.5 m in height usually with a short rhizomes reaching as deep as 50 cm. USES  It withstands heavy grazing but not heavy trampling. It can be cut for hay. KILLING T  May withstand -15°C. GROWING PERIOD  Short-lived perennial grass growing from spring to autumn, 80-120 days to first harvest. Cutting at 5 cm every six to 12 weeks gives higher yields than cutting at 15 cm. Cutting every three weeks reduce yields. COMMON NAMES  Columbus grass, Pasto colon, Sorgo negro, Batag, Gau, Ya-sokum. FURTHER INF  Columbus grass probably originated in Argentina. The latitudinal range of the grass is 25°N to 30°S. It can be found at elevations between sea level and 700 m. In humid areas it becomes more susceptible to leaf diseases and it can also become a weed. Dry matter yields are usually between 4-12 t/ha, but can reach 19 t/ha.","SOURCES (Sorghum x almum Parodi)
Bogdan A 1977 pp 264-269 [TEMP, RAIN, KTMP, LIMIT, TEXT, SAL]
Bryant P 1973 pp 337-338 [RAIN, FER, DRA, SAL, USE]
Mannetje L 1992 pp 203-205 [TEXT, RAIN, DRA, SAL, KTMP]
Skerman P 1990 pp 670-676 [TEMP, KTMP, RAIN, DRA, FER, TEXT, PH, PHO, LIG]"
"1991","Beauv.","Magnoliopsida:Asteridae:Scrophulariales:Bignoniaceae","","African tulip tree, Tulpenbaum","","DESCRIPTION: It is a deciduous tree reaching 10-35 m in height, with a round, heavy crown of dense, dark foliage. The flowers bloom with great profusion, and the trees can be seen from great distances. USE: The seeds are edible. The hard central portion of the fruit is used to kill animals. The bark has laxative and antiseptic properties, and the seeds, flowers and roots are used as medicine. The bark is chewed and sprayed over swollen cheeks. The bark may also be boiled in water used for bathing newly born babies to heal body rashes. The tree is grown for shade as an ornamental, avenue tree and in coffee plantations. Also planted for revegetation and as a living fence. GROWING PERIOD: Perennial. COMMON NAMES: African tulip tree. FURTHER INF: The species is found throughout tropical Africa and is widely grown as an ornamental. It grows naturally in Africa in secondary forests in the high forest zone and in deciduous, transition, and savannah forests. It colonizes even heavily eroded sites, though form and growth rate suffer considerably on difficult sites. It develops best in fertile, deep, well-drained loams. Soil texture may range from loamy sands to clays, pH is between 4.5-8, and soil drainage may vary from poor to excessive.","SOURCE: ICRAF Agroforestree Database (09.07.02) E1991"
"1997","L.","Magnoliopsida:Caryophyllidae:Caryophyllales:Chenopodiaceae","","spinach, epinard, espinaca, spinacio","","BRIEF DESCRIPTION  The two main types of spinach are smooth-leaved and savory-leaved or winkled. A low, glabrous, herbaceous plant, 20-150 cm tall when flowering, with a long taproot and with spreading or erect dark green rosette leaves. The leaf rosette is about 25-50 cm in diameter and 10-20 cm high. USES  The leaves are high in vitamin and mineral content, they are marketed frozen, canned, or fresh. It is usually consumed after a light cooking. GROWING PERIOD  Annual. Seedligs emerge 6-20 days after sowing, 35-100 days later the leaves are fully grown. Seeds mature about 60-70 days after flowering. COMMON NAMES  Spinach, Epinard, Peleng, Puileng, Horenso, Sosolon a gadong a kamo, Puaileng. FURTHER INF  Spinach is not known in a wild state. Probably it originated in southwestern Asia. It is best grown in soils well supplied with organic matter and in areas with medium to high relative humidity. Asian, short day cultivars require photoperiods of 12-14 hours to flower, while European, longday culktivars need at least 14 hours. Yields vary from 10 t/ha in Asia to 35 t/ha for summer crops in Europe and the United States.","SOURCES (S. oleracea L.)
Dube P 1982 pp 28
Hartmann T 1981 pp 570-571 [TEMP, PHO, TEXT, DRA, FER]
Duke J 1975 pp 28 [PH, RAIN, TEMP]
Roecklein J 1987 pp 503 [USE, PHO, TEMP, DRA, TEXT, RAIN]
Maas E 1990 pp 278 [SAL]
Hockings E 1961b pp 417 [DRA, FER, PH, SAL, USE]
Siemonsma J 1993 pp 266-268 [USE, PHO, TEMP, KTMP, TEXT, FER, DRA, PH]"
"2000","Sonnerat","Magnoliopsida:Rosidae:Sapindales:Anacardiaceae","Spondias dulcis Forst. (1786)","ambarella, otaheite apple, great hog plum, hogplum, kedondong manis, kedondong, hevi, mokak, kook hvaan, makok-farang, cóc, golden apple, koris","","BRIEF DESCRIPTION  A medium-sized to tall evergreen or deciduous tree usually reaching 15-25 m in height but sometimes up to 45 m, with a trunk diameter up to 45-90 cm. Leaves with 4-10 pairs of leaflets, and fruit an ellipsoid or globose drupe, 4-10 cm x 3-8 cm and bright-orange. USES  Fruit of the best forms is eaten fresh, but most ripe fruit is stewed or used for jams, jellies or juice. The fruit can be preserved boiled or dried. The green fruit can be used in salads, curries and pickles. Young steamed leaves are used as vegetables. The fruit is fed to pigs and the leaves are eaten by cattle. The fruit, bark and leaves have medicinal properties. GROWING PERIOD  Fast-growing perennial. Bears 4-5 years after planting and yields increase to 8 years. Economical life is 20-25 years. The fruit matures 6-8 months after flowering. COMMON NAMES  Ambarella, Great hog plum, Otaheite apple, Pomme de cythere, Ciruela judia, Jobo de la India, Caja-manga, Tabiriba do Sertao Cajarana, Kedondong, Kedondong manis, Hevi, Gway, Mokak, Jew plum, Vi, Evi, Golden apple, English plum, Pomerac, Mombin jaune, Prune mombin, Mombin de Malabar, Kook hvaan, Makok-farang, Coc. FURTHER INF  Scientific synonyms: S. dulcis, S. mangifera, Condonum malaccense, Poupartia dulcis, Evia dulcis, E. amara var. tuberculosa. Ambarella is native of Polynesia and South and South-East Asia. It is adapted to the hot tropics and frost-free subtropics, it can be grown at elevations between sea level and 700-1000 m. It is however best adapted to the hot, lowland tropics. It prefer over 100 mm rain per month for 6 months and under 60 mm rain per month for the last 6 months.","SOURCES (S. cytherea Sonnerat)
IBPGR 1986 pp 18
Campbell C 1980
Tindall H 1968 pp 163
Bonassieux M 1988
Roecklein J 1987 pp 195 [USE]
Duke J 1975 pp 28 [PH, RAIN, TEMP]
Rice R 1990 pp 110-111 [TEMP, KTMP, DRA, USE]
Purseglove J 1974 pp 18 [USE]
Verheij E 1991 pp 287-288 [USE, LIG, DRA, PH, TEXT]"
"2002","L.","Magnoliopsida:Rosidae:Sapindales:Anacardiaceae","Spondias lutea","yellow mombin, hog plum, Spanish plum, gully plum, Ashanti plum, mombin franc, mombin fruits jaunes, mombinier, myrobalane, prune mombin, prune myrobalan, prunier mombin, caimito, chupandilla, ciruela agria, ciruela amarilla, ciruela de jobo, ciruela del pais, ciruela de monte, ciruela loca, cirueld mango, ciruela obo, cuajo, guama zapotero, hobo de monte, hubu, jobillo, jobito, jobo, jobo arisco, joboban, jobo blanco, jobo de Castilla, jobo de perro, jobo de puerco, jobo espino, jobo espinoso, jobo gusanero, jobo hembra, jobo jocote, jobo negro, jobo roñoso, jobo vano, jocote, jocote amarillo, jocote de chanche, jocote dejobo, jocote jobo, jocote montanero, jocote montero, jovo, marapa, obo de zopilote, palo de mulato, noma, tobo de montana, obo, uvo, acaiba, acaimiri, acaja, acajaiba, caja, caja mirim, caja pequeno, cajazeiro, and caja miudo, hoeboe, mompe, monbe, mopé, moppé, taperiba, tapiriba","","BRIEF DESCRIPTION  A medium-sized tree reach a height of 12-25 m and a trunk diameter up to 80 cm. The fruit is an ellipsoid drupe, 3-5 cm x 2.5 cm and yellow-orange. USES  The fruits have a flavor similar to plums and are eaten fresh or stewed with sugar and they are also used to prepare jam, jelly and juice or wine. Young leaves are used as vegetable. It is also used as pig feed. The tree is planted for shade. GROWING PERIOD  Perennial. COMMON NAMES  Hog plum, Yellow mombin, Jobo, Thorny hog plum, Prunier mombin, Kadongdong cina. FURTHER INF  Scientific synonym: S. lutea. Hog plum is native of Mexico, Central America, northern South America and the Caribbean. It is naturally growing in lowland forests.","SOURCES (S. mombin L.)
Roecklein J 1987 pp 217 [USE, FER, DRA, TEXT]
Duke J 1975 pp 28 [PH, RAIN, TEMP]
Verheij E 1991 pp 360 [USE]"
"2012","(Walt.) O. Kuntze","","","buffalo grass, strand-buffelsgras, buffalo turf grass","","DESCRIPTION: A hardy grass, ascendant or creeping extensively by means of branched rhizomes. Culms rising 6-40 cm in height, much branched from numerous nodes, the branches trailing, producing flowering stems or fin-shaped tufts of leaves. USE: Natural swards, turf, erosion control, silage, pasture or soil conservation groundcover under trees, or near the sea exposed to salt spray.. KILLING T: It survives frost. GROWING PERIOD: Perennial, growing spring, summer and autumn. It may take 150-180 to form a complete ground cover. COMMON NAMES: St. Augustine grass. FURTHER INF: It can be found at elevations between sea level and 800 m, but it is primarily a coastal pioneer. Occurs in areas with annual rainfall from 750 mm to more than 2000 mm and grow best at temperatures between 20-30°C, a minimum of 10ºC. While moderately drought tolerant, it prefers good moisture, and can withstand temporary flooding and waterlogging. It is quite shade tolerant maintaining yields down to 40% sunlight. It is commonly found in moist swampy soils near the sea-shore in the United States and southern Africa. Occurs on well or poorly drained soils, from sandy loams to light clays but is also well adapted to steep sandy soils. Found in infertile to moderately fertile soils with pH from 5.0-8.5. Has good tolerance of soil salinity (to 15 dS/cm) and of wind-borne salt from the sea.  Dry matter yields may be 2-6 t/ha.","Grassland Index
Skerman P 1990 pp 711-713 [DRA, USE, KTMP, TEXT, PH, SAL, FER, LIG]
Rehm S 1991 pp 415 [USE]
Duke J 1975 pp 28 [PH, RAIN, TEMP]
Duke J 1979 pp 96 [PH, RAIN, TEMP]
Bogdan A 1977 pp 284-285 [RAIN, FER, DEP, DRA, SAL]
Aronson J 1989 pp 70
Roecklein J 1987 pp 374 [USE, DRA, TEXT]
Mannetje L 1992 pp 208-209 [KTMP, FER, TEXT, PH, DRA, SAL, DEP, LIG]
Tropical forages 2005"
"2018","(L.) Taub","Magnoliopsida:Rosidae:Fabales:Leguminosae","","Caribbean stylo, verano stylo, cheesy-toes, estilosantes do Caribe","","DESCRIPTION: Much-branched herbaceous legume, semi-erect, mostly 30-75 cm (rarely -1.4 m), sometimes prostrate. Leaves trifoliolate, the central leaflet from 16-26 mm long and 3-6 mm wide. Flowers yellow. Pod about 1 cm long. USE: Used for permanent pastures, cut and carry as green feed, or for hay and in silvipasture systems undersowing Eucalytus and Dalbergia forests as well as a component in watershed and soil conservation programs. Can also be used as a ley in cropping systems with nitrogen benefits up to 90 kg/ha. Used for feeding cattle, goats, sheep, pigs and poultry. KILLING T: Tops are killed by frost but crowns may withstand light frost. GROWING PERIOD: Self-regenerating annual or short-lived perennial herb. It may flower 60-70 days after germination, and plants will flower within 40 days of the start of the season. Seeds ripens over a period of 15-16 days after flowering. COMMON NAMES: Caribbean stylo. FURTHER INF: Synonyms: S. procumbens, Hedysarum hamatum. It can be found between latitudes 3°S-28°N at elevations between sea level and 1500 m. Occurs in areas with an annual rainfall between 350-2000 mm and annual average temperatures between 23-27°C. Plant growth is limited when night temperatures decline to about 15ºC, even with warmer day temperatures. Found on coarse coral beach sands to relatively heavy clays with a pH between 5.4-8.0. In pure stands it can produce up to 10 t/ha of dry matter.","Grassland Index
Skerman P 1988 pp 414-419 [KTMP, RAIN, DRA, FER, PH, TEXT]
Humphreys L 1981 pp 215
Kassam A 1988 
Miller C 1990 pp 37
Mannetje L 1992 pp 213-216 [RAIN, TEXT, FER, PH]
Tropical forages 2005"
"2020",NA,NA,NA,NA,NA,"DESCRIPTION: An erect, ascending, spreading or prostrate, multi-branched legume from 15 cm to 1 m tall. Stems to 1 m long, leaves trifoliolate, with leaflets, to 25 mm long and 8 mm wide. Flowers yellow to pale-yellow. USE: Not very palatable but useful in grazing lands. GROWING PERIOD: Perennial. COMMON NAMES: Poor man's friend. FURTHER INF: Native of Central America, the Caribbean and northern and central South America. Tropical to warm subtropical in distribution, from 29°S to 29°N, and from sea level to 2000 m. Occurs mostly in open scrub, woodland or open, rocky savanna, usually in fully exposed positions. Found in areas receiving annual rainfall from 230-3200 mm, often with long dry seasons, but best grown with 1000-1750 mm and a 4-5 month dry season. High level of drought tolerance. Occurs on soils with pH from 4-7.5 (mostly acid), often on sandy or sandy loam soils of sedimentary or granitic origin, but also on clays and clay loams. Soils are generally well drained. Tolerant of high soil Al levels. DM yields of about 1.5 t/ha has been recorded.","Grassland Index
Tropical forages 2005"
"2022","King","Magnoliopsida:Rosidae:Sapindales:Meliaceae","Swietenia candollei Pittier, Swietenia krukovii Gleason, Swietenia tessmannii","broad-leaved mahogany, mahogany, American mahogany, big-leafed mahogany, true mahogany, echtes Mahagoni, Mahagoni","","BRIEF DESCRIPTION  A large deciduous but nearly evergreen tree, usually 30-40 m high with a girth of 3-4 m, but the tree can reach 60 m and a girth of 9 m. The bole is straight and cylindrical and up to 1/2 to 2/3 of the tree height, often with high buttresses. USES  The timber has a reddish tint and a high quality, it is used for carpentry, veneers, plywood, cabinet making, light construction and boat building. It is used as shade for cacao and coffee. An oil can be extracted from the seed kernels and the bark is used for dying and tanning leather. It has various medicinal properties. Mentioned as a possible agroforestry species. GROWING PERIOD  Perennial. In India, the leaves appear in March, flowers appear in April-May, and the fruit ripen nearly a year later, in February-March. Leaves fall in February-March. On good sites and under intensive management the tree may reach a merchantable size at 30-50 years of age. It withstands a dry season of up to 7 months. COMMON NAMES  Large-leaved mahogany, Big-leaved mahogany, Broad-leaved mahogany, Mahogany, Acajou, Caoba, Bastard mahogany, Honduras mahogany, Bara mahauni. FURTHER INF  Large-leaved mahogany is native of the region from Central America to northern Peru and Brazil, and to the Antilles. In its native range it can be found at elevations from sea level to 1500 m, but it is best adapted to elevations below 600 m. The latitudinal range of natural occurrence is 23°N-18°S. Seedlings require shading to become established, and the tree can be used for erosion control as an undercrop for teak. It can adapt to a wide range of soil conditions and it is windfirm. Annual wood production potential is 7-18 m3/ha.","SOURCES (S. macrophylla King)
Webb D 1984 pp 245 [RAIN, TEMP, TEXT, PH, DRA, LIG, USE]
Roecklein J 1987 pp 437 [USE, RAIN, TEMP, TEXT, LIG]
Joshi H 1980a pp 181-185 [TEMP, RAIN, DEP, DRA, TEXT, USE, PH, LIG, KTMP]
INSPIRE species 162 [RAIN, TEMP, TEXT, PH, DRA, LIG, USE]
Hensleigh T 1988 pp 305-309 [TEXT, DRA, DEP, TEMP, RAIN, LIG, USE]
Zabala N 1990 pp 135-138 [TEMP, RAIN, TEXT, FER, DRA, LIG, USE]
Chaplin G 1993 pp 161-174 [DRA, TEXT, RAIN, TEMP, USE]
Soerianegara I 1993 pp 442-447 [USE, RAIN, TEMP, TEXT, DEP, DRA, FER, PH]"
"2023","(L.) Jacq.","Magnoliopsida:Rosidae:Sapindales:Meliaceae","Swietenia mahogany Jaq., Cedrus mahogani L., Swietenia fabrilis Salisbury, Swietenia mahogoni (L.) Lam.","West Indian mahogany, mahogany, Cuban mahogany, Dominican mahogany, small leaf mahogany, West Indies mahogany, caoba, caoba de Santo, domingo, acajou, mahagni, mahok, cheriamahogany","","BRIEF DESCRIPTION  A medium sized evergreen or deciduous tree reaching a height 20-30 or exceptionally 40 m. The trunk is usually straight and may reach a diameter of up to 120 cm. USES  The timber has a reddish tint and a high quality, it is used for carpentry, veneers, plywood, cabinet making, light construction and boat building. It is used as shade for cacao and coffee. An oil can be extracted from the seed kernels and the bark is used for dying and tanning leather. It has various medicinal properties. GROWING PERIOD  Perennial. In India, the leaves appear in March-April, flowers in April-May. The fruits ripen from October to December, and the leaves fall in February. In the West Indies the tree is evergreen. COMMON NAMES  Small-leaved mahogany, Narrow-leaved mahogany, West Indian mahogany, Cuban mahogany, Mahogany, Spanish mahogany, Mahagni, Cheriamahogany, Mahagani, Mahagony, Cimainukka. FURTHER INF  Small-leaved mahogany occurs naturally from the southern tip of Florida south over Cuba to Jamaica and Hispaniola. The tree is shade tolerant in the early stages. Annual wood production potential is 5-15 m3/ha.","SOURCES (S. mahagoni (L.) Jacq.)
Joshi H 1980a pp 185-188 [TEMP, RAIN, DEP, DRA, TEXT, USE, PH]
Zabala N 1990 pp 139-141 [TEMP, RAIN, DRA, DEP, FER, LIG, USE]
Soerianegara I 1993 pp 442-447 [USE, RAIN, TEMP, TEXT, DEP, DRA, FER, PH]"
"2041","(Bertol.) DC.","Magnoliopsida:Asteridae:Scrophulariales:Bignoniaceae","Tabebuia pentaphylla","","","DESCRIPTION: It is a deciduous tree reaching 25-30 m in height. Flowers showy, purplish-pink to nearly white, up to 8 cm long. Fruit a linear dehiscent capsule containing many winged seeds. USE: It yields an excellent timber. This is one of the most common and showy of the flowering trees of the New World tropics. GROWING PERIOD: Perennial. COMMON NAMES: Mayflower, Apamate, Roble, Pink poui. FURTHER INF: Scientific synonyms: T. pentaphylla, T. pallida. Mayflower can be found at elevations from 100 to 1200 m. The latitudinal range of natural occurrence is 20°N-2°S. Introduced into many tropical countries as an ornamental, for example in Colombo, Sri Lanka, where it was introduced in about 1888. In Sri Lanka it does not thrive in dry districts at sea level. The branches are easily broken by strong winds. Annual wood production potential is 10-20 m3/ha.","SOURCES: (10.07.02) E2041
Webb D 1984 pp 246 [RAIN, TEMP, TEXT, PH, DRA, LIG, USE]
Purseglove J 1974 pp 629
INSPIRE species 163 [RAIN, TEMP, TEXT, PH, DRA, LIG, USE]
Roecklein J 1987 pp 439 [USE, RAIN, TEMP, TEXT, LIG]
ICRAF Agroforestree Database"
"2047","L.","Magnoliopsida:Rosidae:Fabales:Leguminosae","Tamarindus occidentalis Gaertn. Fruct. 2000, Tamarindus officinalis Hook., Tamarindus umbrosa Salisb.","tamarind, Indian date, Madeira mahogany, camalindo, sampaloc, tamarin, tamarindo, tamarainer, tamarindier, ardeib, tamarindeiro, tamarinho, tamarineiro, tamarinheiro, tamanha, jubai', tamarinde, tamarindizio, ambli, amli, imli, amalika, tintiff, tintul, tetul, chinch, chitz, asam jawa, assam, tambaring, chinta, sitta, pulian, tetili, salomagi, sampalok, kalamagi, makham, bakham, somkham, humer, masika, dakar (Senegal), ukwaju, arabeb, b/roka, racahu, dereho, dindie, ghroma, gianko, omar, aradeib, tamarihindi, shekere, kuashi, danufi, daharg, dakah, dakhar, ndakhar, roka, hemor, homor, humar, komar, tommar, siyambala, maha, mushishi, mkwaju, ol-masamburai, mwemba, hamar, khaam, mak kham, puli, magyi, magyee, majee-pen, tamarenn, 'am' pul, ampil, khoua me, kham, me, trai me, ttri, titis, paun, dabe, jammeh, jammi, homar, roka (Galinya), ragai (Soddu), tamarind-hendi, Rogo'ota (Konsogna), Koria (Wolayetgna)","","BRIEF DESCRIPTION  A medium sized to tall tree 20-30 m in height, usually with a 1-2 m long bole, 1-2 m in diameter. The crown is dense and spreading with compound leaves, with 10-20 pairs of leaflets 1-2 cm long. Pods are oblong, irregularly curved, 5-10 cm in length. USES  The fruit is comsumed fresh, made into candies, beverages, sherbets, sauces, chutnies, curries, and marinades. The seeds are edible after cooking, they are used as a carbohydrate source for sizing cloth, paper, and jute products, and they are made into vegetable gum and used in food processing. Flowers and leaves can be eaten in salad. The pulp can be preserved with salt or sugar and used as an ingredient of bottled sauces. Wood used as charcoal and the tree planted as ornamental and shade trees. Mentioned as a useful agroforestry species. KILLING T  Killed by frost when young, but once established it may withstand -2 to -3°C. GROWING PERIOD  Perennial. Commonly, the tree grows between 0.5-0.8 m per year and the seedlings takes 6-8 or up to 12 years to mature and yield fruit. The tree may still be productive after 200 years. COMMON NAMES  Tamarind, Indian date, Indian tamarind, Tamarinde, Tamarindo, Tambaring, Ma khaam, Asam jawa, Asam, Sampaloc, Tamarin, Tamarinier, Dabe, Ngatabbi, N'jame, Yammere, Basors, Bassasu, Bochocho, Tchimia, Samia, Aradeib, Ardeib, Tamr Hindi, Hamar, Epeduru, Ol-Masamburai, Mkwaju, Msisi, Kalamagi, Salomagi, Magyee, Majee-pen, 'Am'pul, Ampil, Khoua me, Khaam, Mak kham, Makham, Somkham, Me, Trai me. FURTHER INF  Scientific synonyms: T. occidentalis, T. officinalis. Tamarind is probably native of tropical Ethiopia and Central Africa. It has a deep root system and can tolerate very strong winds without damage. It can be found at elevations between sea level and 1500 m. The seedlings are said to prefer soils relatively rich in organic matter in the shadow of the baobab. A marked an extended dry season seems necessary for the formation of fruit and wet conditions during the final stages of fruit development are detrimental. In the wet tropics with annual rainfall above 4000 mm the tree does not flower. Optimum yield of fruits is about 16 t/ha, or 150-300 kg per tree. Swampy sites, stagnant water and dense rock is not suitable for tamarind.","Grassland Index
Hackett C 1982 pp 115 [PH, TEXT, TEMP, DRA]
Popenoe W 1974 pp 432
Jansen P 1981 pp 244-256 [RAIN, DRA, TEXT, FER, KTMP, USE]
Roecklein J 1987 pp 242 [USE]
Sims D (pers. comm.)
Troup R 1921 pp 362
AGLS A 1991 pp 31
Nagy S 1980 pp 58
Lotschert W 1983 pp 223
Purseglove J 1969 pp 204-206 [DRA, FER]
Duke J 1981 pp 228-230 [DRA, FER, DEP, TEXT, RAIN, TEMP, PH]
Nair P 1984 pp 25 [TEXT, DEP, DRA, USE]
Skerman P 1988 pp 586-587 [USE]
National RC 1979 pp 117
IBPGR 1984 pp 103
Maydell H 1986 pp 383-387 [RAIN, DEP, LIG, SAL, TEXT, PH, USE]
Martin F 1984 pp 250-252 [TEMP, RAIN, PHO, DRA, FER, USE]
Verheij E 1991 pp 298-301 [USE, TEXT, RAIN, KTMP]"
"2052","(L.) Juss. ex H.B.K.","Magnoliopsida:Asteridae:Scrophulariales:Bignoniaceae","Bignonia stans L., Stenolobium incisum Rose & Standl., Stenolobium stans (L.) Seem., Tabebuia stans Juss., Tecoma tronadora (Loes.) Johnst.","yellow bells, geelklokkies, tacoma, chevalye, flé senpié, zeb sennikola, ginger thomas, tecoma, yellow bignonia, yellow cedar, yellow elder, yellow trumpet tree, yellow trumpet flower, chevalier, fleur de St. Pierre, herbe de St. Nicholas, tecoma amarela, tronadora, ipezinho, amarelinho, roble amarillo, saúco amarillo","","DESCRIPTION: It is a shrub or small tree, 5-7.6 m in height. Bark is pale brown to grey and roughens with age. Leaves are compound and imparipinnate with 2 to 5 pairs of leaflets and a larger single terminal leaflet. Flowers occur in clusters at the ends of the branches and are trumpet shaped with 5 rounded lobes, 6 cm long, pale to bright yellow, with faint orange stripes at the throat. USE: It provides firewood and charcoal. Leaf infusion can be taken orally for diabetes and stomach pains, a strong leaf and root decoction is taken orally as a diuretic, to treat syphilis or for intestinal worms. It provides shade, especially in gardens and is also used as a hedge plant and as an ornamental. GROWING PERIOD: Perennial. COMMON NAMES: yellow bells. FURTHER INF: The drought-resistant tree is intolerant to frost and is a light demander, it prefers clay loams, but tolerates most types of soils and is particularly tolerant of alkaline conditions.","SOURCE: ICRAF Agroforestree Database"
"2054","L. f.","Magnoliopsida:Asteridae:Lamiales:Verbenaceae","","teak, tiki","","BRIEF DESCRIPTION  A medium to tall deciduous tree usually 25-30 m tall and 1 m in trunk diameter. However, under favorable conditions the tree can reach a height of 50 m and a diameter of 2 m. On good sites it often develops a tall clean cylindrical bole buttressed at the base. USES  The timber is very strong and of high quality, remarkable for its constancy under changes of temperature and moisture. It is used for ship decks, bridges, wharves, railway carriages, wagons, shingles, wheels, carving, general carpentry, veneer, plywood, poles, fence posts, fuel and charcoal. Leaves, seeds and bark have medicinal properties. Leaves contain some tannin and bark dye. It is used for reforesttation and mentioned as a possible agroforestry species. KILLING T  Usually teak may not withstand 3°C, but in some places, in the northern part of its geografical occurrence, it is recorded to tolerate mild frost. GROWING PERIOD  Perennial. It can be grown with a rotation period of 30-60 years. On good sites with deep soils it may withstand a dry season of 4-6 months. COMMON NAMES  Teak, Tec, Teca, Sagun, Sagwan, Sag, Tegu, Tegina, Teku, Thekku, Kyun, Yati, Ajate, Dati, Djati, Jate, Hadlajate, Dalanang, Kalayati, Sagunyate. FURTHER INF  Teak is native of Southeast Asia. It is usually found on hilly terrain but it may also occur at plains and alluvial flats at elevations from sea level to 900 m. The latitudinal range of natural occurrence is 10-25°N. Teak often leads to soil erosion in pure stands. Young trees should be protected against high winds. The tree is fire resistant when mature. Annual wood production potential is 6-18 m3/ha.","SOURCES (T. grandis L.f.)
Lal R 1986 pp 51
Roecklein J 1987 pp 458 [USE, RAIN, TEMP, TEXT, DEP, FER, LIMIT]
Seth S 1978 pp 630
Webb D 1984 pp 249 [RAIN, TEMP, TEXT, PH, DRA, FER, DEP, LIMITS, LIG, USE]
Troup R 1921 pp 697
INSPIRE species 166 [RAIN, TEMP, TEXT, PH, DRA, FER, LIG, USE]
Hensleigh T 1988 pp 319-324 [DEP, DRA, TEXT, FER, TEMP, RAIN, USE]
Zabala N 1990 pp 142-147 [TEMP, RAIN, DEP, FER, DRA, TEXT, PH, USE]
Chaplin G 1993 pp 175-188 [DRA, PH, TEXT, RAIN, TEMP]
Soerianegara I 1993 pp 448-454 [USE, RAIN, DEP, DRA, FER, TEXT, PH]"
