"crop_code","species","Life.form","Habit","Life.span","Physiology","Category","Plant.attributes","temp_opt_min","Temp_Opt_Max","Temp_Abs_Min","Temp_Abs_Max","Rain_Opt_Min","Rain_Opt_Max","Rain_Abs_Min","Rain_Abs_Max","Lat_Opt_Min","Lat_Opt_Max","Lat_Abs_Min","Lat_Abs_Max","Alt_Opt_Min","Alt_Opt_Max","Alt_Abs_Min","Alt_Abs_Max","pH_Opt_Min","pH_Opt_Max","pH_Abs_Min","pH_Abs_Max","Light_Opt_Min","Light_Opt_Max","Light_Abs_Min","Light_Abs_Max","Depth_Opt","Depth_Abs","Texture_Ops","Texture_Abs","Fertility_Ops","Fertility_Abs","Al_Toxicity_Opt","Al_Toxicity_Abs","Salinity_Ops","Salinity_Abs","drainage_opt","drainage_abs","Climate.Zone","photoperiod","Killing.temp..during.rest","Killing.temp..early.growth","Abiotic.toler.","Abiotic.suscept.","Introduction.risks.","Product..system","Cropping.system","Subsystem","Companion.species","Level.of.mechanization","Labour.intensity","cycle_min","cycle_max","use.main","use.detailed","use.part","datasheet_url"
"350","Albizia procera","tree","erect","perennial","deciduous, single stem","materials, forest/wood, environmental","grown on small scale","20","33","10","45","1500","2500","780","5100","-","-","20","20","---","---","-","1200","5.5","6.5","5","7.5","very bright","very bright","very bright","light shade","medium (50-150 cm)","shallow (20-50 cm)","medium","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw)","short day (<12 hours)","no input","no input","","","can become a weed","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","150","270","material","timber wood","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=350"
"352","Albizia stipulata","tree","erect","perennial","deciduous, single stem","forest/wood, environmental","","22","34","4","43","2000","2400","1100","5000","20","20","30","30","---","---","-","1300","5.5","6.5","5","7.5","very bright","cloudy skies","very bright","light shade","deep (>>150 cm)","medium (50-150 cm)","medium","medium, light","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)","tropical wet & dry (Aw)","short day (<12 hours)","-1","-1","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","210","300","material","timber wood","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=352"
"353","Aleurites fordii","tree","erect","perennial","deciduous, single stem","materials, environmental","","17","22","10","28","1000","1200","750","1400","29","29","32","32","---","---","600","1000","6","7","5.3","7.5","very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","medium","medium","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","subtropical dry summer (Cs)","short day (<12 hours)","no input","no input","","wind","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","240","300","material","lipids/oil & fats","seeds","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=353"
"354","Aleurites moluccana","tree","erect","perennial","single stem","materials","grown on small scale","18","28","14","32","1000","1800","600","4300","-","-","20","30","---","---","-","1200","5","8","4.3","8.5","very bright","very bright","very bright","clear skies","medium (50-150 cm)","shallow (20-50 cm)","medium","medium","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs)","short day (<12 hours)","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","240","365","material","lipids/oil & fats","seeds","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=354"
"355","Aleurites montana","tree","erect","perennial","deciduous, single stem","materials, environmental","grown on small scale","25","30","18","34","1500","2100","1000","2500","10","10","35","35","---","---","-","1800","5","6.5","4.5","7","clear skies","cloudy skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","heavy, medium, light","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), subtropical dry summer (Cs)","short day (<12 hours)","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","240","300","material","lipids/oil & fats","seeds","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=355"
"363","Allium ampeloprasum","herb","erect","annual, biennial","single stem","vegetables","grown on large scale","18","24","6","27","750","1000","350","2800","-","-","60","60","---","---","-","1000","6","6.5","4.5","7.5","clear skies","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","medium, organic","heavy, medium, light","high","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","long day (>14 hours)","-5","-5","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","120","150","food & beverage","vitamins","entire plant","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=363"
"364","Allium cepa","herb","erect","biennial","","vegetables, medicinals & aromatic","grown on large scale","12","25","4","30","350","600","300","2800","-","-","60","60","---","---","-","2000","6","7","4.3","8.3","clear skies","clear skies","cloudy skies","very bright","medium (50-150 cm)","shallow (20-50 cm)","medium, organic","wide, organic","moderate","low","","","low (<4 dS/m)","medium (4-10 dS/m)","well (dry spells)","well (dry spells)","tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","no input","no input","","","","home garden, large scale/commercial","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","85","175","food & beverage","vitamins","entire plant","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=364"
"365","Allium fistulosum","herb","erect","annual, perennial","","vegetables","grown on large scale","12","25","6","30","850","1600","700","2500","-","-","60","60","---","---","-","2000","6.6","7.4","5.5","8.5","clear skies","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","medium, organic","heavy, medium, light","high","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), temperate oceanic (Do), temperate continental (Dc)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","60","160","food & beverage","vitamins","entire plant","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=365"
"367","Allium sativum","herb","erect","biennial","single stem","vegetables, medicinals & aromatic","grown on large scale","18","30","7","35","750","1600","500","2700","-","-","60","60","---","---","-","2200","6","6.6","5","8.5","clear skies","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","medium, light","heavy, medium, light","high","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","long day (>14 hours)","-5","-5","","humidity","","home garden, large scale/commercial","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","90","120","food additive","condiment/seasoning","leaves","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=367"
"379","Alstonia scholaris","tree","erect","perennial","evergreen, single stem","materials, ornamentals/turf, medicinals & aromatic, forest/wood","grown on small scale","22","28","12","36","1200","3000","1100","3800","5","-","15","21.5","---","---","-","1000","5.5","6.5","4.5","7.5","very bright","very bright","very bright","clear skies","deep (>>150 cm)","shallow (20-50 cm)","medium","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","poorly (saturated >50% of year), well (dry spells)","tropical wet & dry (Aw), tropical wet (Ar)","short day (<12 hours)","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","300","365","material","timber wood","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=379"
"390","Amaranthus cruentus","herb","erect","annual","","cereals & pseudocereals, forage/pasture, vegetables","grown on small scale","22","28","10","45","2000","2400","500","4000","-","-","20","40","---","---","-","1200","5.5","7","4.3","7.5","very bright","very bright","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","heavy, medium, light, organic","heavy, medium, light","high","moderate","","","low (<4 dS/m)","medium (4-10 dS/m)","well (dry spells)","well (dry spells)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","4","0","","","","home garden, small scale (manual)","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","30","300","food & beverage","protein","seeds","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=390"
"391","Amaranthus sp.","herb","erect","annual","single stem, multi stem, C4 photosynthesis","vegetables","grown on large scale, grown on small scale","19","30","7","45","1100","1400","200","4200","-","-","30","30","---","---","-","1200","5.5","7.5","4.3","8.5","very bright","very bright","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","heavy, medium, light, organic","heavy, medium, light","high","moderate","","","low (<4 dS/m)","medium (4-10 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","4","0","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","30","300","food & beverage","vitamins","leaves","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=391"
"400","Amorphophallus paeoniifolius","herb","erect","perennial","single stem","vegetables","grown on small scale","28","35","25","40","1000","1500","900","1800","-","-","20","20","---","---","-","1000","5.5","6.2","5","7.5","clear skies","clear skies","cloudy skies","very bright","deep (>>150 cm)","medium (50-150 cm)","medium, organic","medium, organic","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), tropical wet (Ar)","short day (<12 hours)","5","0","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","220","350","food & beverage","vitamins","roots","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=400"
"401","Anacardium occidentale","shrub, tree","erect","perennial","evergreen, single stem, multi stem, C3 photosynthesis","fruits & nuts, medicinals & aromatic","grown on large scale","15","35","5","46","750","1600","400","4000","-","-","25","30","---","---","-","1200","4.5","6.5","3.8","8.7","very bright","very bright","very bright","clear skies","deep (>>150 cm)","medium (50-150 cm)","medium, light","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","190","260","food & beverage","vitamins","fruits","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=401"
"402","Ananas comosus","herb","erect","perennial","single stem","fruits & nuts","grown on large scale","21","30","10","36","800","2500","550","3500","-","-","25","33","---","---","-","1800","4.5","8","3.5","9","clear skies","cloudy skies","very bright","light shade","medium (50-150 cm)","shallow (20-50 cm)","medium, light","heavy, medium, light","moderate","moderate","","","low (<4 dS/m)","medium (4-10 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)","short day (<12 hours)","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","330","365","food & beverage","vitamins","fruits","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=402"
"411","Annona muricata","tree","erect","perennial","evergreen, semi evergreen, single stem","fruits & nuts, vegetables, medicinals & aromatic, environmental","grown on small scale","20","30","13","36","1200","2200","800","4200","-","-","20","30","---","---","-","1200","5.5","6.5","4.5","8","very bright","clear skies","very bright","cloudy skies","deep (>>150 cm)","shallow (20-50 cm)","heavy, medium","heavy, medium, light","moderate","moderate","","","low (<4 dS/m)","medium (4-10 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), tropical wet (Ar)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","180","365","food & beverage","vitamins","fruits","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=411"
"412","Annona reticulata","tree","erect","perennial","deciduous, single stem","fruits & nuts","grown on small scale","23","27","7","34","1200","1400","600","2200","5","-","25","25","---","---","-","1500","5","7.5","4.5","8","clear skies","very bright","light shade","very bright","deep (>>150 cm)","medium (50-150 cm)","medium","heavy, medium, light","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","tropical wet & dry (Aw), tropical wet (Ar)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","-3","0","","","","home garden","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","210","270","food & beverage","vitamins","fruits","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=412"
"414","Annona squamosa","shrub, tree","erect","perennial","evergreen, deciduous, single stem, multi stem","fruits & nuts","grown on large scale, harvested from wild","23","30","11","41","800","1200","570","4000","-","-","15","25","---","---","-","1000","7","8","4.3","8.5","very bright","clear skies","very bright","cloudy skies","deep (>>150 cm)","shallow (20-50 cm)","medium, light","heavy, medium, light","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","tropical wet & dry (Aw), tropical wet (Ar), subtropical dry summer (Cs)","short day (<12 hours)","no input","no input","","wind","","large scale/commercial","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","210","270","food & beverage","vitamins","fruits","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=414"
"418","Anthocephalus chinensis","tree","erect","perennial","deciduous, single stem","forest/wood, environmental","grown on small scale","22","35","15","42","1800","2600","1300","5100","-","-","10","27","---","---","-","1300","5.5","6.5","5","7.5","very bright","very bright","very bright","clear skies","deep (>>150 cm)","medium (50-150 cm)","medium, light","heavy, medium, light","high","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","poorly (saturated >50% of year), well (dry spells)","tropical wet & dry (Aw), tropical wet (Ar)","short day (<12 hours)","no input","no input","flooding","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","270","365","fuels","fuelwood","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=418"
"431","Apium graveolens","herb","erect","biennial","deciduous","vegetables, medicinals & aromatic","grown on small scale","15","21","5","25","700","1300","500","1500","40","10","60","65","---","---","-","2000","6","6.8","5.5","7.5","cloudy skies","clear skies","cloudy skies","very bright","shallow (20-50 cm)","shallow (20-50 cm)","medium, organic","medium, organic","high","moderate","","","medium (4-10 dS/m)","medium (4-10 dS/m)","poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)","tropical wet & dry (Aw), subtropical dry summer (Cs), temperate oceanic (Do)","","no input","no input","flooding","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","40","150","medicinal","digestive system applications","roots","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=431"
